"biotypes"	"length"	"gc"
"DDX11L1"	"unknown"	1652.0	55.44794188861985
"WASH7P"	"unknown"	1769.0	61.447145279819104
"MIR6859-3"	"unknown"	68.0	61.76470588235294
"MIR6859-2"	"unknown"	68.0	61.76470588235294
"MIR6859-1"	"unknown"	68.0	61.76470588235294
"MIR6859-4"	"unknown"	68.0	61.76470588235294
"MIR1302-2"	"unknown"	138.0	31.159420289855074
"MIR1302-11"	"unknown"	138.0	31.159420289855074
"MIR1302-9"	"unknown"	138.0	31.159420289855074
"MIR1302-10"	"unknown"	138.0	31.159420289855074
"FAM138A"	"unknown"	1130.0	54.18879056047198
"FAM138C"	"unknown"	1130.0	54.18879056047198
"FAM138F"	"unknown"	1130.0	54.18879056047198
"OR4F5"	"unknown"	918.0	42.810457516339866
"LOC729737"	"unknown"	5474.0	62.148337595907925
"FAM138D"	"unknown"	1126.0	53.685612788632326
"OR4F29"	"unknown"	939.0	46.00638977635783
"OR4F3"	"unknown"	939.0	46.00638977635783
"OR4F16"	"unknown"	939.0	46.00638977635783
"LOC100132287"	"unknown"	4370.0	61.76201372997712
"LOC100132062"	"unknown"	4370.0	61.76201372997712
"LOC101928626"	"unknown"	798.0	47.24310776942356
"MIR6723"	"unknown"	89.0	49.438202247191015
"LOC100133331"	"unknown"	4273.0	61.40884624385677
"LOC100288069"	"unknown"	1371.0	52.29759299781182
"FAM87B"	"unknown"	1944.0	50.36008230452675
"LINC00115"	"unknown"	1317.0	52.69552012148823
"LINC01128"	"unknown"	5924.5	48.94177906571671
"FAM41C"	"unknown"	1706.0	46.71746776084408
"LOC100130417"	"unknown"	1476.0	61.353617342524785
"SAMD11"	"unknown"	2554.0	66.75802662490212
"NOC2L"	"unknown"	2800.0	60.035714285714285
"KLHL17"	"unknown"	2564.0	64.93759750390015
"PLEKHN1"	"unknown"	2347.5	66.08796296296296
"PERM1"	"unknown"	3240.5	65.33951632560589
"HES4"	"unknown"	1000.0	73.58465624361578
"ISG15"	"unknown"	666.0	64.26426426426427
"AGRN"	"unknown"	7360.0	67.58158310768536
"RNF223"	"unknown"	1122.0	71.03386809269162
"C1orf159"	"unknown"	2104.0	67.01520912547528
"LINC01342"	"unknown"	1618.0	64.77132262051916
"MIR200B"	"unknown"	95.0	60.0
"MIR200A"	"unknown"	90.0	55.55555555555556
"MIR429"	"unknown"	83.0	57.83132530120482
"TTLL10"	"unknown"	2186.0	63.95797679031992
"TNFRSF18"	"unknown"	1122.6666666666667	68.03545210204533
"TNFRSF4"	"unknown"	1104.0	69.20289855072464
"SDF4"	"unknown"	2080.0	63.60294015594596
"B3GALT6"	"unknown"	2792.0	64.21919770773638
"FAM132A"	"unknown"	1043.0	69.22339405560882
"UBE2J2"	"unknown"	2271.5	59.691358527306235
"SCNN1D"	"unknown"	3007.0	64.94820704791235
"ACAP3"	"unknown"	3759.0	65.36312849162012
"MIR6726"	"unknown"	61.0	70.49180327868852
"PUSL1"	"unknown"	1240.0	65.24193548387096
"CPSF3L"	"unknown"	2152.6	60.94518274007919
"MIR6727"	"unknown"	65.0	72.3076923076923
"CPTP"	"unknown"	2193.0	67.53305973552212
"TAS1R3"	"unknown"	2559.0	66.5494333724111
"DVL1"	"unknown"	2924.0	65.49247606019152
"MIR6808"	"unknown"	59.0	69.49152542372882
"MXRA8"	"unknown"	2363.2	65.82574048044371
"AURKAIP1"	"unknown"	903.6666666666666	66.33243045158373
"CCNL2"	"unknown"	2161.0	53.646040153678186
"LOC148413"	"unknown"	1748.0	58.29519450800915
"MRPL20"	"unknown"	733.0	51.56889495225102
"ANKRD65"	"unknown"	1825.0	62.5056130893603
"TMEM88B"	"unknown"	492.0	75.8130081300813
"LOC102724312"	"unknown"	996.0	62.48430788066789
"VWA1"	"unknown"	4461.5	67.36677322070659
"ATAD3C"	"unknown"	3859.0	56.258097952837524
"ATAD3B"	"unknown"	2433.0	65.10480887792848
"ATAD3A"	"unknown"	2493.3333333333335	64.95189056239946
"TMEM240"	"unknown"	1117.0	67.23366159355416
"SSU72"	"unknown"	1303.0	57.48273215656178
"C1orf233"	"unknown"	2089.0	70.27285782671134
"MIB2"	"unknown"	3193.3333333333335	69.16753474889657
"MMP23B"	"unknown"	1240.0	69.91935483870968
"MMP23A"	"unknown"	906.0	67.77041942604856
"CDK11B"	"unknown"	3027.1666666666665	56.38739847164917
"SLC35E2B"	"unknown"	6234.0	55.16937356183784
"CDK11A"	"unknown"	2612.0	56.010808055149575
"SLC35E2"	"unknown"	4226.0	55.056296168026215
"NADK"	"unknown"	3270.5	56.14191105710003
"GNB1"	"unknown"	3129.0	50.652298695671476
"CALML6"	"unknown"	1101.0	59.12806539509537
"TMEM52"	"unknown"	958.0	65.55323590814196
"CFAP74"	"unknown"	5412.0	59.626755358462674
"GABRD"	"unknown"	1925.0	63.79220779220779
"PRKCZ"	"unknown"	2143.0	58.27813121462511
"FAAP20"	"unknown"	1724.3	64.16202832897646
"SKI"	"unknown"	5707.0	59.68109339407745
"MORN1"	"unknown"	2771.6666666666665	62.308256722600554
"LOC100129534"	"unknown"	2247.0	57.72140631953716
"RER1"	"unknown"	3104.0	53.38273195876289
"PEX10"	"unknown"	2044.0	61.79027425188579
"PLCH2"	"unknown"	5369.0	64.7080018781737
"PANK4"	"unknown"	2679.0	58.37999253452781
"HES5"	"unknown"	1306.0	66.23277182235834
"LOC115110"	"unknown"	4619.0	62.39445767482139
"TNFRSF14"	"unknown"	3429.5	61.892377724461944
"LOC100996583"	"unknown"	698.0	50.0
"FAM213B"	"unknown"	2728.125	61.65815686295855
"MMEL1"	"unknown"	2902.0	60.16540317022743
"TTC34"	"unknown"	1775.0	68.22535211267606
"ACTRT2"	"unknown"	1422.0	61.46272855133615
"LINC00982"	"unknown"	2164.0	65.03514632703482
"PRDM16"	"unknown"	8694.5	56.679515828328036
"MIR4251"	"unknown"	61.0	50.81967213114754
"ARHGEF16"	"unknown"	2904.0	64.84159779614325
"MEGF6"	"unknown"	7439.0	63.19397768517274
"MIR551A"	"unknown"	95.0	62.10526315789474
"TPRG1L"	"unknown"	2427.0	54.47053976102184
"WRAP73"	"unknown"	1699.0	56.50382577987051
"TP73"	"unknown"	4939.923076923077	60.67555745043305
"TP73-AS1"	"unknown"	4889.0	55.532948333250395
"CCDC27"	"unknown"	2174.0	58.371665133394664
"SMIM1"	"unknown"	533.5	67.46519476866825
"LRRC47"	"unknown"	2648.0	58.610271903323266
"CEP104"	"unknown"	6458.0	48.699287705171876
"DFFB"	"unknown"	3111.6666666666665	52.26325623049427
"C1orf174"	"unknown"	1666.0	48.919567827130855
"LINC01134"	"unknown"	1952.0	57.83811475409836
"LINC01346"	"unknown"	568.0	47.88732394366197
"LOC284661"	"unknown"	2074.0	51.20540019286403
"AJAP1"	"unknown"	2496.5	59.82172871826147
"MIR4417"	"unknown"	73.0	63.013698630136986
"MIR4689"	"unknown"	70.0	62.857142857142854
"NPHP4"	"unknown"	4943.5	60.08054366553377
"KCNAB2"	"unknown"	4125.333333333333	61.216971986192256
"CHD5"	"unknown"	9663.0	60.15730104522405
"RPL22"	"unknown"	2085.0	42.20623501199041
"LOC102724450"	"unknown"	378.0	57.93650793650794
"RNF207"	"unknown"	3971.0	56.257869554268446
"ICMT"	"unknown"	4815.0	50.01038421599169
"LINC00337"	"unknown"	1640.0	53.65853658536585
"HES3"	"unknown"	697.0	68.29268292682927
"GPR153"	"unknown"	4082.0	65.94806467417932
"ACOT7"	"unknown"	1568.5	59.58611880426422
"HES2"	"unknown"	4260.0	57.51173708920188
"ESPN"	"unknown"	3531.0	68.1393372982158
"MIR4252"	"unknown"	63.0	65.07936507936508
"TNFRSF25"	"unknown"	1372.6666666666667	64.71719518075994
"PLEKHG5"	"unknown"	4767.375	63.498783913254954
"NOL9"	"unknown"	6712.0	48.837902264600714
"TAS1R1"	"unknown"	2414.0	58.066350652516135
"ZBTB48"	"unknown"	2299.0	59.791294995614976
"KLHL21"	"unknown"	4516.0	61.49247121346324
"PHF13"	"unknown"	3670.0	54.11444141689373
"THAP3"	"unknown"	1590.0	59.92121620347634
"DNAJC11"	"unknown"	3293.0	55.81536592772548
"LOC100505887"	"unknown"	389.0	45.88086310763717
"CAMTA1"	"unknown"	2792.0	52.32589843973703
"VAMP3"	"unknown"	2205.0	42.67573696145125
